,City,Country,Cloudiness,Date,Humidity,Lat,Lng,Max_temp,Wind_speed
75,cape town,ZA,75.0,2018-11-26,87.0,-33.93,18.42,60.8,24.16
76,zhanakorgan,KZ,64.0,2018-11-26,90.0,43.91,67.25,25.26,4.41
77,lompoc,US,1.0,2018-11-26,58.0,34.64,-120.46,75.2,13.87
78,hailar,CN,64.0,2018-11-26,38.0,49.2,119.7,10.05,25.99
79,upernavik,GL,0.0,2018-11-26,100.0,72.79,-56.15,8.75,20.4
80,grootfontein,NA,48.0,2018-11-26,86.0,-19.56,18.1,64.5,3.62
81,natal,BR,40.0,2018-11-26,78.0,-5.81,-35.21,80.6,11.41
82,khatanga,RU,0.0,2018-11-26,51.0,71.98,102.47,-30.27,8.21
83,novyy urengoy,RU,24.0,2018-11-26,39.0,66.08,76.63,-25.64,3.4
84,talnakh,RU,20.0,2018-11-26,60.0,69.49,88.39,-12.77,2.17
85,wattegama,LK,32.0,2018-11-26,94.0,7.35,80.68,64.82,3.4
86,college,US,90.0,2018-11-26,93.0,64.86,-147.8,28.04,6.08
87,yumen,CN,0.0,2018-11-26,51.0,40.29,97.04,21.66,10.11
88,gao,ML,44.0,2018-11-26,44.0,16.28,-0.04,68.55,3.29
89,kahului,US,40.0,2018-11-26,69.0,20.89,-156.47,84.02,18.34
90,henties bay,NA,36.0,2018-11-26,100.0,-22.12,14.28,58.7,5.64
91,pyshchug,RU,80.0,2018-11-26,88.0,58.89,45.71,22.61,5.41
92,torbay,CA,90.0,2018-11-26,100.0,47.66,-52.73,33.8,12.75
93,souillac,FR,12.0,2018-11-26,93.0,45.6,-0.6,39.2,2.24
94,huilong,CN,0.0,2018-11-26,78.0,28.89,110.18,38.81,3.4
95,narsaq,GL,0.0,2018-11-26,31.0,60.91,-46.05,33.8,3.4
96,maniitsoq,GL,0.0,2018-11-26,84.0,65.42,-52.9,25.35,8.77
97,paamiut,GL,0.0,2018-11-26,99.0,61.99,-49.67,33.41,11.12
98,longyearbyen,NO,40.0,2018-11-26,62.0,78.22,15.63,19.4,3.36
99,pontes e lacerda,BR,0.0,2018-11-26,89.0,-15.23,-59.33,77.15,3.29
100,kaabong,UG,8.0,2018-11-26,78.0,3.51,34.14,64.23,5.19
101,gravelbourg,CA,68.0,2018-11-26,89.0,49.88,-106.56,20.09,8.43
102,albany,US,90.0,2018-11-26,76.0,42.65,-73.75,44.06,3.36
103,faanui,PF,80.0,2018-11-26,100.0,-16.48,-151.75,83.18,10.11
104,barrow,AR,80.0,2018-11-26,57.0,-38.31,-60.23,68.6,3.4
105,kavaratti,IN,24.0,2018-11-26,100.0,10.57,72.64,83.54,6.42
106,nagorsk,RU,88.0,2018-11-26,93.0,59.32,50.8,20.4,5.19
107,carnarvon,ZA,100.0,2018-11-26,24.0,-30.97,22.13,64.28,7.2
108,manchar,IN,36.0,2018-11-26,85.0,19.0,73.94,54.29,2.73
109,atakpame,TG,12.0,2018-11-26,65.0,7.53,1.13,78.41,6.64
110,vao,EE,80.0,2018-11-26,87.0,59.1,26.19,30.71,10.11
111,qaanaaq,GL,12.0,2018-11-26,100.0,77.48,-69.36,-12.72,8.77
112,syke,DE,20.0,2018-11-26,93.0,52.91,8.82,37.4,6.93
113,road town,VG,40.0,2018-11-26,83.0,18.42,-64.62,80.96,3.36
